ensembl_gene_id	ensembl_transcript_id	rgd_symbol	entrezgene_id
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694613	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694614	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694614	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694614	103694599
