ENST00000397641	HGNC:23573
ENST00000429468	HGNC:23573
ENST00000445980	HGNC:23573
ENST00000215862	HGNC:23573
ENST00000469915	HGNC:23573
ENST00000476152	HGNC:23573
ENST00000603931	
ENST00000373894	HGNC:21416
ENST00000548116	HGNC:21416
ENST00000411604	HGNC:21416
ENST00000373888	HGNC:21416
ENST00000466793	HGNC:21416
ENST00000549094	HGNC:21416
ENST00000632155	
ENST00000633256	
ENST00000631836	
ENST00000632926	
ENST00000429105	HGNC:420
ENST00000447289	
ENST00000607591	
ENST00000417687	HGNC:50368
ENST00000447560	HGNC:51533
ENST00000453405	HGNC:51686
ENST00000444561	
ENST00000451666	HGNC:21663
ENST00000457775	
ENST00000340345	HGNC:33902
ENST00000343246	HGNC:18899
ENST00000453806	HGNC:41046
ENST00000546484	
ENST00000624111	HGNC:43741
ENST00000591956	HGNC:44352
ENST00000586846	HGNC:44352
ENST00000587743	HGNC:44352
ENST00000586942	HGNC:44352
ENST00000493536	HGNC:44352
ENST00000448136	HGNC:44352
ENST00000590435	HGNC:44352
ENST00000587838	HGNC:44352
ENST00000439497	HGNC:37901
ENST00000513392	
ENST00000380490	HGNC:436
ENST00000479597	HGNC:436
ENST00000617770	HGNC:436
ENST00000393004	HGNC:21015
ENST00000237172	HGNC:21015
ENST00000498523	HGNC:21015
ENST00000370020	HGNC:21015
ENST00000451237	HGNC:919
ENST00000606990	HGNC:919
ENST00000465049	HGNC:49200
ENST00000474541	HGNC:49200
ENST00000464655	HGNC:36940
ENST00000579897	
ENST00000420534	HGNC:7094
ENST00000484859	
ENST00000490997	
ENST00000466557	
ENST00000491962	
ENST00000456198	HGNC:49806
ENST00000378402	HGNC:20313
ENST00000526472	HGNC:20313
ENST00000533183	HGNC:20313
ENST00000534623	HGNC:20313
ENST00000633434	HGNC:10612
ENST00000632700	HGNC:10612
ENST00000619040	HGNC:10612
ENST00000618060	HGNC:10612
ENST00000441613	HGNC:40722
ENST00000371431	HGNC:24061
ENST00000371422	HGNC:24061
ENST00000334356	HGNC:24061
ENST00000491105	HGNC:24061
ENST00000371425	HGNC:24061
ENST00000418250	HGNC:51175
ENST00000453915	
ENST00000448495	
ENST00000580347	
ENST00000316368	HGNC:15087
ENST00000440900	
ENST00000611785	
ENST00000548416	
ENST00000417032	HGNC:27217
ENST00000447563	HGNC:27217
ENST00000438049	HGNC:27217
ENST00000413238	HGNC:27217
ENST00000525353	HGNC:25382
ENST00000528105	HGNC:25382
ENST00000531366	HGNC:25382
ENST00000304511	HGNC:25382
ENST00000532180	HGNC:25382
ENST00000528531	HGNC:25382
ENST00000366881	HGNC:11851
ENST00000407096	HGNC:11851
ENST00000484766	HGNC:11851
ENST00000465726	HGNC:11851
ENST00000540964	HGNC:11851
ENST00000430696	
ENST00000434973	
ENST00000570581	
ENST00000634617	
ENST00000415505	
ENST00000517431	
ENST00000425130	HGNC:4940
ENST00000411558	HGNC:4940
ENST00000487219	HGNC:4940
ENST00000481615	HGNC:4940
ENST00000491374	HGNC:4940
ENST00000494240	HGNC:4940
ENST00000445702	HGNC:4940
ENST00000455122	HGNC:4940
ENST00000493369	HGNC:4940
ENST00000500813	HGNC:2710
ENST00000357067	HGNC:2710
ENST00000507543	HGNC:2710
ENST00000438320	HGNC:2710
ENST00000507631	HGNC:2710
ENST00000510370	HGNC:2710
ENST00000503182	HGNC:2710
ENST00000510307	HGNC:2710
ENST00000512766	HGNC:2710
ENST00000514754	HGNC:2710
