ENSG00000272602	ENST00000609518	ZNF595	HGNC:27196	
ENSG00000125812	ENST00000338121	GZF1	HGNC:15808	Q9H116
ENSG00000120784	ENST00000588979	ZFP30	HGNC:29555	
ENSG00000272602	ENST00000509152	ZNF595	HGNC:27196	
ENSG00000125812	ENST00000424216	GZF1	HGNC:15808	
ENSG00000143919	ENST00000613618	CAMKMT	HGNC:26276	
ENSG00000173369	ENST00000510260	C1QB	HGNC:1242	
ENSG00000120784	ENST00000587199	ZFP30	HGNC:29555	
ENSG00000221938	ENST00000408899	OR2A14	HGNC:15084	Q96R47
ENSG00000120784	ENST00000591444	ZFP30	HGNC:29555	
ENSG00000125812	ENST00000377051	GZF1	HGNC:15808	Q9H116
ENSG00000173369	ENST00000509305	C1QB	HGNC:1242	
ENSG00000167524	ENST00000530121			
ENSG00000221938	ENST00000627593	OR2A14	HGNC:15084	
ENSG00000173369	ENST00000432749	C1QB	HGNC:1242	
ENSG00000088782	ENST00000382388	DEFB127	HGNC:16206	Q9H1M4
ENSG00000131873	ENST00000254190	CHSY1	HGNC:17198	Q86X52
ENSG00000173369	ENST00000314933	C1QB	HGNC:1242	P02746
ENSG00000167524	ENST00000525510			
ENSG00000120784	ENST00000392144	ZFP30	HGNC:29555	Q9Y2G7
ENSG00000228520	ENST00000430233	RING1	HGNC:10018	Q06587
ENSG00000206526	ENST00000383656	LINC01556	HGNC:21195	Q5JQF7
ENSG00000262938	ENST00000576372	C21orf62	HGNC:1305	Q9NYP8
ENSG00000262938	ENST00000576061	C21orf62	HGNC:1305	Q9NYP8
ENSG00000262938	ENST00000573131	C21orf62	HGNC:1305	
ENSG00000262938	ENST00000571812	C21orf62	HGNC:1305	Q9NYP8
ENSG00000262938	ENST00000610926	C21orf62	HGNC:1305	Q9NYP8
ENSG00000163464	ENST00000295683	CXCR1	HGNC:6026	P25024
ENSG00000244355	ENST00000375825	LY6G6D	HGNC:13935	O95868
ENSG00000244355	ENST00000375824	LY6G6D	HGNC:13935	
ENSG00000230254	ENST00000427936	HLA-E	HGNC:4962	P13747
ENSG00000263140	ENST00000575401	C21orf62-AS1	HGNC:1290	Q17RA5
ENSG00000123570	ENST00000243298	RAB9B	HGNC:14090	Q9NP90
ENSG00000178966	ENST00000445877	RMI1	HGNC:25764	
ENSG00000263140	ENST00000572066	C21orf62-AS1	HGNC:1290	
ENSG00000145757	ENST00000477715	SPATA9	HGNC:22988	Q9BWV2
ENSG00000263140	ENST00000575623	C21orf62-AS1	HGNC:1290	Q17RA5
ENSG00000263140	ENST00000571434	C21orf62-AS1	HGNC:1290	
ENSG00000178966	ENST00000325875	RMI1	HGNC:25764	Q9H9A7
ENSG00000178966	ENST00000615118	RMI1	HGNC:25764	
ENSG00000155158	ENST00000512701	TTC39B	HGNC:23704	Q5VTQ0
ENSG00000166479	ENST00000299608	TMX3	HGNC:24718	Q96JJ7
ENSG00000145757	ENST00000316087	SPATA9	HGNC:22988	Q9BWV2
ENSG00000145757	ENST00000274432	SPATA9	HGNC:22988	Q9BWV2
ENSG00000105695	ENST00000392213	MAG	HGNC:6783	P20916
ENSG00000145757	ENST00000489917	SPATA9	HGNC:22988	Q9BWV2
ENSG00000153347	ENST00000283357	FAM81B	HGNC:26335	Q96LP2
ENSG00000105695	ENST00000361922	MAG	HGNC:6783	P20916
ENSG00000034239	ENST00000523008	EFCAB1	HGNC:25678	
ENSG00000105695	ENST00000595791	MAG	HGNC:6783	
ENSG00000153347	ENST00000513529	FAM81B	HGNC:26335	
ENSG00000105695	ENST00000597035	MAG	HGNC:6783	
ENSG00000153347	ENST00000507832	FAM81B	HGNC:26335	
ENSG00000052344	ENST00000317508	PRSS8	HGNC:9491	Q16651
ENSG00000153347	ENST00000503361	FAM81B	HGNC:26335	
ENSG00000105695	ENST00000537831	MAG	HGNC:6783	P20916
ENSG00000166479	ENST00000564631	TMX3	HGNC:24718	
ENSG00000155158	ENST00000507285	TTC39B	HGNC:23704	Q5VTQ0
ENSG00000153347	ENST00000503099	FAM81B	HGNC:26335	
ENSG00000213416	ENST00000394014	KRTAP4-12	HGNC:16776	Q9BQ66
ENSG00000052344	ENST00000568261	PRSS8	HGNC:9491	Q16651
ENSG00000153347	ENST00000512365	FAM81B	HGNC:26335	
ENSG00000155158	ENST00000507993	TTC39B	HGNC:23704	Q5VTQ0
ENSG00000052344	ENST00000567531	PRSS8	HGNC:9491	
ENSG00000153347	ENST00000513110	FAM81B	HGNC:26335	
ENSG00000166479	ENST00000569053	TMX3	HGNC:24718	
ENSG00000052344	ENST00000567797	PRSS8	HGNC:9491	
ENSG00000034239	ENST00000521701	EFCAB1	HGNC:25678	
ENSG00000161055	ENST00000292641	SCGB3A1	HGNC:18384	Q96QR1
ENSG00000166479	ENST00000443099	TMX3	HGNC:24718	
ENSG00000277518	ENST00000627256	MUC6	HGNC:7517	
ENSG00000166479	ENST00000562706	TMX3	HGNC:24718	Q96JJ7
ENSG00000115946	ENST00000263657	PNO1	HGNC:32790	Q9NRX1
ENSG00000166479	ENST00000564008	TMX3	HGNC:24718	
ENSG00000106443	ENST00000521747	PHF14	HGNC:22203	
ENSG00000115946	ENST00000430742	PNO1	HGNC:32790	
ENSG00000166479	ENST00000565918	TMX3	HGNC:24718	
ENSG00000198090	ENST00000345847	KRTAP4-6	HGNC:18909	Q9BYQ5
ENSG00000166479	ENST00000569982	TMX3	HGNC:24718	
ENSG00000233757	ENST00000425953			
ENSG00000277518	ENST00000621433	MUC6	HGNC:7517	
ENSG00000034239	ENST00000262103	EFCAB1	HGNC:25678	Q9HAE3
ENSG00000233757	ENST00000614286			
ENSG00000155158	ENST00000506891	TTC39B	HGNC:23704	
ENSG00000149136	ENST00000278412	SSRP1	HGNC:11327	Q08945
ENSG00000034239	ENST00000522254	EFCAB1	HGNC:25678	
ENSG00000048405	ENST00000393313	ZNF800	HGNC:27267	Q2TB10
ENSG00000155158	ENST00000380850	TTC39B	HGNC:23704	Q5VTQ0
ENSG00000034239	ENST00000523092	EFCAB1	HGNC:25678	Q9HAE3
ENSG00000155158	ENST00000297615	TTC39B	HGNC:23704	Q5VTQ0
ENSG00000096080	ENST00000372133	MRPS18A	HGNC:14515	Q9NVS2
ENSG00000155530	ENST00000285928	LRGUK	HGNC:21964	Q96M69
ENSG00000149136	ENST00000635721	SSRP1	HGNC:11327	
ENSG00000096080	ENST00000372116	MRPS18A	HGNC:14515	Q9NVS2
ENSG00000034239	ENST00000433756	EFCAB1	HGNC:25678	Q9HAE3
ENSG00000149136	ENST00000526696	SSRP1	HGNC:11327	
ENSG00000149136	ENST00000529002	SSRP1	HGNC:11327	
ENSG00000048405	ENST00000265827	ZNF800	HGNC:27267	Q2TB10
ENSG00000099942	ENST00000354336	CRKL	HGNC:2363	P46109
ENSG00000106443	ENST00000403050	PHF14	HGNC:22203	O94880
ENSG00000048405	ENST00000393312	ZNF800	HGNC:27267	Q2TB10
ENSG00000096080	ENST00000427312	MRPS18A	HGNC:14515	
ENSG00000099942	ENST00000411769	CRKL	HGNC:2363	P46109
ENSG00000048405	ENST00000434602	ZNF800	HGNC:27267	
ENSG00000048405	ENST00000436992	ZNF800	HGNC:27267	
ENSG00000048405	ENST00000439506	ZNF800	HGNC:27267	
